AP,ODS,ODS_threshold,OIS,alpha,bias,edge_weight,mode,precision_at_ODS,prob_weight,recall_at_ODS,ring,sharpen,split,temperature,uncertainty_power
0.9497543355760136,0.8913912101336798,0.41000000000000003,0.8983477114801582,,,,plain_identity,0.8741082825296359,,0.909371361704894,,,val,,
0.9589778870245719,0.923224434206378,0.77,0.9250716391080801,-4.2,-0.18,1.0,main_surround,0.9161225624129433,0.0,0.9304372750536325,3-9-9-21,-0.5,val,0.84,0.5
0.9518126730616394,0.8933784294891657,0.44,0.8999311845388015,1.2,0.0,0.6,no_surround,0.8778419283439403,0.4,0.9094747853221202,3-9-9-21,-0.35,val,0.88,0.55
0.9538917194091725,0.8976554571956874,0.45,0.9034225284529342,0.9,0.0,0.8,conv_control,0.8796612484633247,0.2,0.916401212715786,3-9-9-21,0.0,val,0.88,0.55
