unit_row_idx,cluster_id,x,y
0,1,2420.797607421875,138.48918914794922
1,3,2535.793212890625,172.3614501953125
2,7,2535.699951171875,171.51092529296875
3,10,2537.5478515625,173.15968322753906
4,12,2407.2880859375,132.3312225341797
5,13,2432.31591796875,143.50538635253906
6,15,2522.1097412109375,192.10665130615234
7,16,2541.5279541015625,188.0261001586914
8,20,2555.897216796875,191.14173889160156
9,22,2457.0296630859375,202.88072967529297
10,23,2523.818359375,195.9809112548828
11,26,2439.4129638671875,202.94786834716797
12,28,2481.32275390625,202.26368713378906
13,29,2541.673095703125,186.963623046875
14,32,2523.425048828125,194.9785919189453
15,34,2562.20263671875,190.4847412109375
16,35,2555.8232421875,191.11338806152344
17,36,2455.80810546875,200.44480895996094
18,37,2439.9954833984375,219.53038787841797
19,38,2502.724853515625,230.77720642089844
20,42,2445.8626708984375,219.98409271240234
21,45,2584.41455078125,225.53204345703125
22,46,2501.080078125,230.94554138183594
23,49,2562.5421142578125,208.3978500366211
24,50,2467.6104736328125,208.3149871826172
25,52,2485.45751953125,211.19412231445312
26,53,2502.455810546875,230.81747436523438
27,54,2502.553466796875,239.07842254638672
28,57,2505.0499267578125,241.3389434814453
29,58,2503.962646484375,239.75433349609375
30,59,2443.280029296875,232.06207275390625
31,60,2571.750244140625,321.68621826171875
32,62,2572.339599609375,320.495849609375
33,64,2564.102294921875,331.73175048828125
34,65,2575.575927734375,317.3006286621094
35,67,2418.454345703125,469.4070739746094
36,70,2471.444580078125,510.6056365966797
37,71,2499.48388671875,512.6866455078125
38,75,2481.781005859375,620.8158569335938
39,76,2501.712890625,685.3110656738281
40,79,2522.0936279296875,697.4649047851562
41,81,2527.3564453125,696.3724365234375
42,82,2398.843994140625,687.6402282714844
43,86,2404.37646484375,690.3138427734375
44,87,2510.8294677734375,704.3736267089844
45,90,2512.4957275390625,708.9607849121094
46,93,2518.0064697265625,781.8657531738281
47,97,2512.25830078125,788.0766906738281
48,98,2543.7513427734375,787.9625854492188
49,99,2523.2637939453125,771.4930419921875
50,101,2508.8760986328125,787.9746398925781
51,102,2521.873779296875,785.3232116699219
52,103,2505.36865234375,800.4608764648438
53,105,2449.979248046875,842.0703430175781
54,106,2442.154296875,836.0462646484375
55,109,2470.545166015625,830.6986083984375
56,112,2484.76025390625,977.8280639648438
57,115,2467.56201171875,972.3231811523438
58,120,2494.258544921875,1047.1883544921875
59,123,2429.323974609375,1134.777099609375
60,124,2421.36181640625,1124.590576171875
61,125,2450.51171875,1126.1083374023438
62,126,2422.985107421875,1126.8148193359375
63,127,2455.4971923828125,1126.9127197265625
64,128,2426.5556640625,1133.6641845703125
65,129,2545.455322265625,1169.91796875
66,130,2553.462646484375,1152.9549560546875
67,133,2541.362060546875,1165.1854248046875
68,135,2534.7626953125,1204.126220703125
69,137,2530.28955078125,1192.779541015625
70,139,2530.607421875,1195.1539306640625
71,145,2472.434326171875,1234.1585693359375
72,146,2535.649658203125,1223.5517578125
73,148,2538.653564453125,1215.736083984375
74,150,2484.333251953125,1277.8544921875
75,151,2494.6248779296875,1262.2998046875
76,152,2489.668212890625,1260.8365478515625
77,153,2478.2933349609375,1282.0925903320312
78,154,2488.7236328125,1266.1351318359375
79,156,2500.478515625,1274.8837890625
80,157,2500.1361083984375,1277.6588134765625
81,158,2495.35546875,1261.784912109375
82,160,2471.9595947265625,1319.7349853515625
83,161,2473.8355712890625,1322.1846313476562
84,163,2397.931640625,1425.187255859375
85,164,2397.36572265625,1422.4578857421875
86,165,2391.8955078125,1421.9833984375
87,166,2398.564208984375,1424.2373046875
88,167,2566.10400390625,1498.8992919921875
89,168,2566.808837890625,1500.528564453125
90,170,2571.1224365234375,1516.1449584960938
91,171,2569.281982421875,1515.1998291015625
92,176,2576.0511474609375,1578.8232421875
93,178,2567.387451171875,1584.449951171875
94,179,2343.610107421875,125.62492370605469
95,180,2344.5601806640625,126.25309371948242
96,181,2277.18359375,143.69606018066406
97,182,2355.7958984375,112.82059478759766
98,183,2349.19677734375,123.13239288330078
99,185,2353.0325927734375,118.65010452270508
100,186,2365.334228515625,122.92699432373047
101,189,2334.478515625,126.9765396118164
102,193,2332.28369140625,117.66679382324219
103,194,2354.271484375,113.44235229492188
104,195,2328.601806640625,118.64204406738281
105,196,2285.3016357421875,139.26302337646484
106,197,2377.9190673828125,134.92796325683594
107,199,2318.5712890625,145.39036560058594
108,200,2384.693115234375,150.7218780517578
109,201,2316.929931640625,160.64359283447266
110,202,2330.713134765625,137.6244125366211
111,203,2377.62060546875,134.3971710205078
112,204,2266.96435546875,153.64146423339844
113,206,2318.83935546875,155.89968872070312
114,208,2369.7957763671875,135.78466033935547
115,210,2381.86279296875,138.91639709472656
116,214,2382.164306640625,155.089599609375
117,216,2328.93310546875,135.83377838134766
118,219,2314.91162109375,161.24517822265625
119,220,2317.9449462890625,164.01905822753906
120,222,2381.9478759765625,156.12332916259766
121,223,2395.1297607421875,139.17647552490234
122,224,2327.83447265625,141.74945831298828
123,225,2382.416259765625,135.53651428222656
124,226,2381.312744140625,137.1024169921875
125,228,2389.4619140625,137.291748046875
126,229,2277.4891357421875,162.17424774169922
127,230,2315.994384765625,161.0208740234375
128,231,2396.07080078125,138.548095703125
129,232,2325.427001953125,140.34263610839844
130,234,2274.4232177734375,148.65059661865234
131,236,2276.371337890625,155.9817352294922
132,238,2281.1759033203125,179.29048919677734
133,239,2350.861083984375,176.66555786132812
134,240,2261.956787109375,175.41552734375
135,244,2276.86669921875,179.29966735839844
136,245,2347.299560546875,170.50728607177734
137,246,2264.062744140625,174.604736328125
138,247,2280.640869140625,179.99586486816406
139,250,2347.4736328125,188.81689453125
140,252,2263.18212890625,173.97691345214844
141,254,2276.156005859375,188.66441345214844
142,255,2280.848388671875,181.1806869506836
143,257,2347.910888671875,173.0729217529297
144,258,2307.759521484375,174.79983520507812
145,259,2305.046142578125,176.417236328125
