unit_row_idx,cluster_id,x,y
0,0,682.5,770.0
1,1,682.5,770.0
2,2,490.0,822.5
3,6,838.2760620117188,1248.4988403320312
4,9,848.034912109375,1249.360595703125
5,11,788.99072265625,1286.7745361328125
6,14,1051.4837646484375,1204.6273193359375
7,15,1048.841552734375,1200.3138427734375
8,16,1035.427978515625,1207.2039794921875
9,20,1227.335693359375,1489.9447021484375
10,21,1002.7227478027344,1505.0
11,22,997.5,1750.0
12,29,1341.1123046875,390.8348083496094
13,30,1416.5696411132812,383.66258239746094
14,36,1385.5057983398438,532.5285949707031
15,37,1417.5,1085.0
16,43,1333.4432373046875,1311.9773559570312
17,45,1323.51513671875,1315.9686279296875
18,47,1464.67919921875,1395.426025390625
19,49,1274.2506103515625,1533.466064453125
20,54,1380.68994140625,1585.388427734375
21,55,1416.1337890625,1602.199462890625
22,57,1385.0109252929688,1597.4082641601562
23,59,1419.5770263671875,1604.66845703125
24,60,1375.6094360351562,1583.4558715820312
25,61,1428.2639770507812,1612.85107421875
26,62,1410.645751953125,1620.259765625
27,63,1407.5926513671875,1625.5166015625
28,64,1423.8369140625,1628.006591796875
29,65,1410.549072265625,1625.2442626953125
30,66,1410.362548828125,1625.4208984375
31,67,1513.9254760742188,303.46337890625
32,68,1500.808837890625,321.41302490234375
33,69,1518.496826171875,314.2054138183594
34,70,1495.322265625,323.4807434082031
35,71,1570.795166015625,340.9573974609375
36,72,1529.0078735351562,337.21678161621094
37,73,1572.7102661132812,342.03211975097656
38,74,1548.0213623046875,328.4760437011719
39,75,1570.0093994140625,341.56561279296875
40,76,1550.9244384765625,360.6175842285156
41,77,1576.1043701171875,350.3485412597656
42,78,1576.5321044921875,350.97088623046875
43,80,1451.4487915039062,366.1938934326172
44,82,1551.89013671875,365.87928771972656
45,83,1617.8746337890625,631.750732421875
46,84,1602.607177734375,827.3187255859375
47,86,1531.2078247070312,1010.6460266113281
48,87,1539.970703125,1195.9168701171875
49,92,1483.6243896484375,1370.62841796875
50,94,1640.1973876953125,1349.9158935546875
51,96,1484.7991943359375,1406.803466796875
52,100,1609.6271362304688,1547.30419921875
53,102,1586.5780029296875,1561.03271484375
54,103,1587.729736328125,1560.1888427734375
55,104,1544.7908325195312,1563.6867065429688
56,108,1485.172607421875,1633.2306518554688
57,110,1559.4307861328125,1629.7552490234375
58,111,1482.3114013671875,1633.9986572265625
59,112,1480.2188720703125,1638.1821899414062
60,115,1583.7625732421875,1647.103759765625
61,116,1591.678466796875,1657.47998046875
62,117,1595.437744140625,1660.8427734375
63,118,1590.829833984375,1653.251220703125
64,120,1529.6637573242188,1664.5591430664062
65,122,1530.484619140625,1667.7567138671875
66,123,1561.159423828125,1652.06591796875
67,125,1590.9173583984375,1653.2371826171875
68,127,1591.1654663085938,1664.8185424804688
69,129,1509.6021728515625,1666.4967651367188
70,130,1521.86865234375,1672.8443603515625
71,131,1526.2386474609375,1672.198974609375
72,132,1518.5301513671875,1666.316650390625
73,134,1590.2944946289062,1660.1830444335938
74,135,1593.4515380859375,1664.2723388671875
75,136,1527.6004638671875,1672.919921875
76,137,1518.376220703125,1666.4107666015625
77,138,1760.2344970703125,225.30552673339844
78,139,1727.625732421875,249.02259826660156
79,140,1725.0572509765625,258.98876953125
80,141,1745.234619140625,253.5041046142578
81,142,1729.5151977539062,260.1590881347656
82,143,1735.7017211914062,263.24609375
83,145,1753.8636474609375,287.03318786621094
84,147,1726.2301635742188,286.79771423339844
85,148,1743.360595703125,283.47340393066406
86,149,1733.64306640625,299.3443908691406
87,151,1622.86279296875,621.7742919921875
88,153,1661.1790771484375,881.9008483886719
89,155,1724.935791015625,905.9959411621094
90,156,1611.172119140625,1051.1720581054688
91,157,1705.228271484375,1335.1434326171875
92,160,1716.1629638671875,1338.9717407226562
93,161,1716.718994140625,1338.7462158203125
94,163,1717.1788940429688,1371.554443359375
95,164,1730.052978515625,1381.0372314453125
96,165,1726.3571166992188,1364.7244262695312
97,167,1763.6384887695312,1448.1070556640625
98,169,1762.010009765625,1448.541748046875
99,172,1638.2034912109375,1589.7254638671875
100,174,1676.888916015625,1598.431396484375
101,176,1731.4397583007812,1626.6478271484375
102,177,1757.0820922851562,1625.7852172851562
103,178,1753.435546875,1625.7415771484375
104,180,1732.57666015625,1619.1558227539062
105,181,1686.5098266601562,1624.0353393554688
106,183,1684.6923828125,1624.830322265625
107,184,1731.1142578125,1626.53759765625
108,189,1696.309326171875,1679.531005859375
109,190,1698.092529296875,1676.4984130859375
110,191,1715.8973388671875,1688.96630859375
111,192,1701.850830078125,1672.6895751953125
112,193,1697.4852294921875,1672.4125366210938
113,194,1710.651611328125,1681.0855102539062
114,195,1694.1929321289062,1681.7626342773438
115,196,1748.77490234375,1701.293701171875
116,197,1698.533935546875,1673.9202880859375
117,198,1715.6370849609375,1691.212890625
118,199,1699.7265625,1676.486083984375
119,200,1694.289794921875,1682.0867919921875
120,202,1774.1563110351562,1712.8966064453125
121,207,1754.09326171875,1709.9530029296875
122,209,1802.2261962890625,198.6711654663086
123,210,1781.9193725585938,209.55432891845703
124,211,1789.8734130859375,207.42974090576172
125,217,1858.6923828125,219.20278930664062
126,218,1904.2398681640625,233.8104248046875
127,220,1883.1286010742188,228.65474700927734
128,221,1830.8873901367188,199.1379852294922
129,223,1825.7554931640625,248.17330932617188
130,224,1920.3890380859375,238.70590209960938
131,225,1911.037353515625,238.59890747070312
132,230,1847.9390869140625,1106.3741455078125
133,232,1803.6780395507812,1206.2350463867188
134,234,1803.73974609375,1251.6019287109375
135,235,1792.2172241210938,1258.057373046875
136,237,1803.3326416015625,1251.91552734375
137,240,1817.4899291992188,1338.083740234375
138,242,1894.0230712890625,1380.4786376953125
139,247,1938.609130859375,1443.10498046875
140,248,1826.8633422851562,1533.8142700195312
141,249,1805.2938842773438,1532.1532592773438
142,251,1858.9981689453125,1536.1932373046875
143,254,1892.0894165039062,1551.314697265625
144,257,1898.4879150390625,1560.5855712890625
145,258,1870.7569580078125,1544.90185546875
146,260,1915.4217529296875,1597.3974609375
147,263,1904.94140625,1604.2431640625
148,265,1894.7310180664062,1631.0589599609375
149,266,1894.9339599609375,1631.3067626953125
150,268,1827.396484375,1621.2944946289062
151,269,1826.2158203125,1620.30224609375
152,275,1883.8132934570312,1733.2127685546875
153,277,1851.0921630859375,1744.81005859375
154,279,1793.668212890625,1743.8985595703125
155,281,1840.8017578125,1739.571533203125
156,283,1890.4817504882812,1762.2650146484375
157,284,1919.5433959960938,1760.1904296875
158,287,1793.5809936523438,1743.9462280273438
159,288,1874.041748046875,1743.689208984375
160,289,1817.2457275390625,1739.8089599609375
161,290,1896.197265625,1766.2373657226562
162,291,1906.66943359375,1770.4535522460938
163,292,1895.0029907226562,1764.3397827148438
164,293,2022.1163940429688,144.60501861572266
165,296,2029.176513671875,142.45606994628906
166,297,2044.1746826171875,142.31568908691406
167,300,1991.717529296875,155.8981704711914
168,301,1977.5623168945312,170.75401306152344
169,302,2012.5008544921875,171.34852600097656
170,304,2014.4402465820312,170.98421478271484
171,305,1972.8176879882812,178.2926483154297
172,306,2000.972412109375,187.39556884765625
173,307,1997.32080078125,187.86749267578125
174,308,2025.2763671875,189.68051147460938
175,309,1980.425537109375,193.62650299072266
176,310,1982.1787109375,206.1199951171875
177,311,2033.5852661132812,195.90467834472656
178,313,2029.54248046875,197.8909912109375
179,315,2095.82080078125,230.07888793945312
180,316,1960.0,472.5
181,317,1960.0,472.5
182,318,1960.0,472.5
183,320,1942.5,765.084228515625
184,321,1942.5,765.0671997070312
185,322,2011.745849609375,907.933349609375
186,323,2011.52294921875,907.8245239257812
187,324,2011.416259765625,907.7940063476562
188,326,2060.230224609375,953.0913391113281
189,334,1995.8518676757812,1373.8128662109375
190,339,1975.1585693359375,1426.0408935546875
191,340,2077.779052734375,1428.366455078125
192,342,1976.1224365234375,1422.94189453125
193,346,2086.98095703125,1520.3228759765625
194,347,2086.8447265625,1520.0516967773438
195,348,1993.4010009765625,1577.1197509765625
196,349,1994.8594970703125,1596.565185546875
197,350,1978.8333129882812,1585.8303833007812
198,351,2001.208740234375,1583.5552368164062
199,353,2017.6622924804688,1615.7047729492188
200,354,1932.7769775390625,1639.171630859375
201,355,2018.097900390625,1610.2622680664062
202,358,1938.5474853515625,1646.5205078125
203,359,2001.9046630859375,1648.3712158203125
204,361,1997.5775146484375,1646.8787841796875
205,362,2048.96728515625,1662.76123046875
206,363,2047.25439453125,1664.35888671875
207,364,1973.8289184570312,1649.9970703125
208,366,1973.9074096679688,1650.2221069335938
209,368,2058.2080078125,1689.53466796875
210,372,1937.0975341796875,1764.4039306640625
211,374,2012.9384155273438,1778.7354125976562
212,379,1958.6617431640625,1769.6209716796875
213,382,1982.7930908203125,1782.11962890625
214,384,2042.1707763671875,1786.970458984375
215,385,2029.6656494140625,1795.0703125
216,386,2009.2059936523438,1782.6625366210938
217,389,2058.27294921875,1778.6605834960938
218,392,2161.6309814453125,135.699462890625
219,394,2154.66650390625,144.75626373291016
220,395,2163.4248046875,136.10316467285156
221,397,2273.882568359375,157.35739135742188
222,399,2157.8946533203125,192.8641815185547
223,401,2205.092041015625,199.12933349609375
224,402,2187.383544921875,192.50502014160156
225,403,2236.864013671875,199.3041229248047
226,404,2236.495849609375,199.3340835571289
227,405,2156.50390625,213.96559143066406
228,406,2176.3603515625,211.49795532226562
229,407,2229.640380859375,200.44296264648438
230,408,2156.7587890625,213.7782745361328
231,409,2195.093017578125,200.33995056152344
232,410,2171.645751953125,209.44876098632812
233,412,2170.0,572.9174194335938
234,414,2147.999755859375,734.7254333496094
235,417,2146.0069580078125,746.07470703125
236,421,2164.9073486328125,983.2105102539062
237,422,2164.9022216796875,982.3689270019531
238,423,2224.5684814453125,1032.2382202148438
239,424,2130.482177734375,1034.8243408203125
240,426,2192.45166015625,1066.5140991210938
241,427,2197.086669921875,1136.592041015625
242,432,2102.9599609375,1266.7843017578125
243,437,2118.9058837890625,1291.6493530273438
244,441,2118.835693359375,1291.7452392578125
245,443,2204.017578125,1377.5181884765625
246,444,2204.045654296875,1377.3622436523438
247,447,2105.5751953125,1449.6131591796875
248,448,2129.666748046875,1492.1096801757812
249,450,2111.66259765625,1529.4739990234375
250,451,2113.20947265625,1523.00244140625
251,452,2112.09521484375,1526.908935546875
252,453,2123.0289306640625,1519.3818359375
253,455,2099.6710205078125,1661.9844970703125
254,456,2091.833740234375,1661.128662109375
255,457,2103.18896484375,1660.552001953125
256,458,2102.083984375,1660.77978515625
257,460,2125.311767578125,1769.164306640625
258,461,2086.991943359375,1752.9954833984375
259,464,2195.9317626953125,1778.5712280273438
260,468,2117.648193359375,1775.9658203125
261,469,2119.0491943359375,1775.72021484375
262,472,2096.91357421875,1789.5040283203125
263,475,2358.2593994140625,113.02186965942383
264,476,2332.354248046875,120.42155456542969
265,477,2429.8056640625,132.7697525024414
266,478,2289.322998046875,142.9212188720703
267,481,2391.1767578125,120.5345344543457
268,482,2391.09375,123.94294738769531
269,485,2433.101806640625,132.791748046875
270,486,2332.540771484375,127.45845031738281
271,487,2289.9595947265625,143.5670623779297
272,489,2373.5263671875,146.75609588623047
273,490,2327.544189453125,143.2734146118164
274,491,2437.6248779296875,141.43032836914062
275,492,2357.33642578125,139.7039031982422
276,493,2317.4952392578125,138.0168685913086
277,494,2355.37744140625,139.3623809814453
278,495,2329.99462890625,143.85557556152344
279,498,2374.0684814453125,144.7679901123047
280,500,2481.8798828125,198.72796630859375
281,504,2281.849365234375,178.869873046875
282,505,2280.441162109375,176.9494171142578
283,506,2313.189453125,202.85595703125
284,507,2322.0078125,216.2455291748047
285,508,2314.5076904296875,193.45142364501953
286,509,2484.3404541015625,207.7295379638672
287,512,2302.439697265625,244.8673095703125
288,513,2395.703857421875,235.68206787109375
289,517,2300.46337890625,248.3309783935547
290,518,2315.2335205078125,228.50270080566406
291,519,2296.4718017578125,325.2016143798828
292,520,2308.0699462890625,353.7923583984375
293,521,2308.1483154296875,353.7908630371094
294,523,2299.740478515625,330.4787902832031
295,528,2324.7861328125,519.6265258789062
296,529,2317.1988525390625,510.02879333496094
297,530,2324.359375,509.78570556640625
298,533,2482.9771728515625,621.7946472167969
299,534,2471.637451171875,611.8529663085938
300,537,2288.2464599609375,660.1332092285156
301,538,2324.361083984375,672.4123229980469
302,539,2386.497802734375,682.0116577148438
303,540,2312.499267578125,682.1065063476562
304,541,2390.5955810546875,683.16845703125
305,542,2309.114501953125,683.3990478515625
306,543,2309.034423828125,683.3796081542969
307,545,2367.3603515625,816.5913391113281
308,547,2359.9970703125,821.4775390625
309,548,2390.955322265625,823.7338256835938
310,550,2353.154541015625,834.0036010742188
311,551,2465.037353515625,815.957763671875
312,553,2462.997802734375,819.8324279785156
313,555,2441.19287109375,834.7652587890625
314,557,2439.4970703125,832.5158996582031
315,558,2356.987548828125,830.7890625
316,559,2351.016357421875,853.7752685546875
317,561,2351.7283935546875,843.6612243652344
318,565,2432.807861328125,1116.095947265625
319,566,2371.399658203125,1137.6924438476562
320,567,2434.507080078125,1116.20068359375
321,570,2397.8045654296875,1107.11181640625
322,571,2468.575927734375,1126.97119140625
323,572,2425.909912109375,1132.999267578125
324,573,2451.201416015625,1139.541015625
325,577,2265.02490234375,1243.100830078125
326,579,2475.7589111328125,1231.0704956054688
327,581,2338.143798828125,1271.1463012695312
328,582,2485.742919921875,1288.850830078125
329,584,2322.805419921875,1276.7561645507812
330,585,2302.0634765625,1265.8406982421875
331,587,2341.0706787109375,1315.439453125
332,588,2286.6593017578125,1312.06298828125
333,589,2286.595703125,1312.86279296875
334,590,2288.3228759765625,1307.1104736328125
335,594,2366.134765625,1354.8621215820312
336,595,2280.5771484375,1332.602783203125
337,596,2283.84716796875,1333.5347900390625
338,597,2365.5849609375,1355.8524169921875
339,598,2328.7535400390625,1363.8994140625
340,600,2357.174560546875,1369.2855834960938
341,603,2343.68701171875,1384.54248046875
342,606,2353.627197265625,1412.6829223632812
343,607,2337.966796875,1406.4752197265625
344,608,2364.064208984375,1413.5205078125
345,609,2348.044189453125,1410.6673583984375
346,610,2397.511962890625,1425.723876953125
347,613,2324.8529052734375,1465.7130126953125
348,616,2305.130615234375,1798.833740234375
349,617,2306.2490234375,1798.7078857421875
350,618,2286.327392578125,1792.68408203125
351,619,2284.932861328125,1793.3759765625
352,620,2800.0,35.0
353,621,2800.0,35.0
354,622,2606.788330078125,125.73918914794922
355,623,2607.73486328125,123.80852890014648
356,624,2606.34130859375,130.7334747314453
357,628,2600.22412109375,180.12924194335938
358,631,2558.2144775390625,194.49445343017578
359,633,2600.52490234375,179.90465545654297
360,634,2645.404296875,202.08700561523438
361,635,2558.2008056640625,194.6063003540039
362,636,2600.397216796875,183.21969604492188
363,637,2648.99853515625,199.7836151123047
364,638,2644.6962890625,200.63088989257812
365,642,2499.5369873046875,231.28245544433594
366,643,2563.511474609375,208.91363525390625
367,644,2630.4520263671875,216.34162139892578
368,645,2664.2384033203125,225.91368103027344
369,647,2626.22802734375,212.73087310791016
370,648,2659.80712890625,226.69976806640625
371,652,2599.283935546875,247.56993103027344
372,653,2669.3232421875,265.17193603515625
373,654,2594.4412841796875,244.81847381591797
374,655,2514.2752685546875,234.63736724853516
375,656,2514.0684814453125,234.9821014404297
376,657,2591.4755859375,262.2291259765625
377,659,2673.551025390625,259.3395690917969
378,661,2638.43212890625,255.1659393310547
379,662,2578.6337890625,240.1972885131836
380,664,2625.723388671875,293.73992919921875
381,666,2623.15576171875,293.18409729003906
382,667,2666.14892578125,275.84429931640625
383,671,2604.2615966796875,292.3684844970703
384,673,2665.177001953125,275.4320373535156
385,674,2669.5281982421875,279.05462646484375
386,676,2657.62060546875,312.1375427246094
387,677,2580.10693359375,310.7779541015625
388,678,2570.259033203125,310.3846130371094
389,679,2567.1395263671875,316.2358703613281
390,682,2683.6505126953125,380.19390869140625
391,683,2567.3135986328125,313.6930236816406
392,684,2675.75537109375,371.73358154296875
393,687,2689.9549560546875,397.1937255859375
394,688,2661.91162109375,356.2622375488281
395,689,2689.787841796875,396.90802001953125
396,691,2696.3154296875,394.2436218261719
397,692,2674.4718017578125,402.0395965576172
398,693,2696.6273193359375,392.01605224609375
399,695,2677.891845703125,395.9491424560547
400,696,2711.939697265625,448.18487548828125
401,697,2716.781982421875,450.7625732421875
402,698,2710.2412109375,446.88645935058594
403,699,2672.556884765625,416.67352294921875
404,703,2699.5439453125,443.6712341308594
405,704,2669.6270751953125,415.6782531738281
406,705,2697.9991455078125,441.5633850097656
407,710,2715.66796875,460.6007995605469
408,712,2697.7918701171875,454.90040588378906
409,713,2654.42333984375,467.6600036621094
410,715,2692.2188720703125,472.6475067138672
411,717,2712.787841796875,511.41436767578125
412,719,2718.869384765625,489.81227111816406
413,721,2693.8162841796875,508.57513427734375
414,722,2713.159912109375,507.12615966796875
415,723,2718.367919921875,489.7141418457031
416,724,2693.959716796875,510.50372314453125
417,726,2718.97900390625,491.3567810058594
418,728,2632.166015625,537.1665649414062
419,730,2538.335205078125,532.2058715820312
420,734,2532.056640625,530.5361938476562
421,735,2521.4984130859375,535.96630859375
422,737,2694.287353515625,533.9537353515625
423,738,2696.054931640625,524.656982421875
424,739,2712.1802978515625,533.5648193359375
425,740,2696.59326171875,528.1716918945312
426,741,2695.8743896484375,561.1434936523438
427,744,2639.4512939453125,548.3284606933594
428,745,2695.6290283203125,559.205078125
429,746,2695.8529052734375,558.8251037597656
430,747,2693.58935546875,558.5274047851562
431,751,2710.8548583984375,597.9190368652344
432,755,2524.4052734375,709.0740966796875
433,756,2684.880615234375,685.2776794433594
434,759,2518.0244140625,720.361572265625
435,761,2695.658447265625,690.7537231445312
436,762,2685.8092041015625,696.1323852539062
437,763,2685.264404296875,701.1318359375
438,765,2697.571533203125,690.2032470703125
439,766,2515.2144775390625,712.5235290527344
440,767,2682.7503662109375,698.3438415527344
441,768,2651.31396484375,701.8937377929688
442,770,2518.53369140625,763.146728515625
443,772,2524.087158203125,780.7005615234375
444,773,2527.57861328125,774.55322265625
445,777,2532.6702880859375,789.7068176269531
446,779,2532.781982421875,788.8406982421875
447,780,2535.9713134765625,793.8222351074219
448,786,2476.85986328125,988.7886962890625
449,787,2651.463134765625,967.4308471679688
450,789,2662.44873046875,969.4397583007812
451,790,2697.505615234375,959.102294921875
452,791,2681.964599609375,964.0599365234375
453,792,2475.22412109375,989.9676513671875
454,793,2647.7349853515625,965.2698669433594
455,794,2649.81689453125,965.8439025878906
456,795,2662.2108154296875,968.5590209960938
457,796,2694.51171875,960.54638671875
458,798,2670.4195556640625,973.3983154296875
459,799,2675.4521484375,971.5660705566406
460,801,2489.056884765625,1052.1588134765625
461,802,2482.494140625,1050.826416015625
462,803,2487.6669921875,1052.7598266601562
463,805,2522.44482421875,1129.199462890625
464,810,2612.195068359375,1150.919677734375
465,811,2612.143798828125,1151.0321044921875
466,812,2670.4923095703125,1147.9595336914062
467,814,2656.176513671875,1142.19970703125
468,816,2673.47216796875,1148.164794921875
469,817,2628.0802001953125,1146.0158081054688
470,818,2612.3970947265625,1150.9031982421875
471,822,2628.1734619140625,1158.7879028320312
472,828,2547.282958984375,1174.2222290039062
473,829,2562.7080078125,1170.8291015625
474,832,2535.541259765625,1187.9344482421875
475,833,2644.044189453125,1201.9794921875
476,834,2535.311279296875,1188.4501953125
477,836,2646.86669921875,1196.388916015625
478,837,2647.1484375,1194.9986572265625
479,839,2643.03759765625,1218.756591796875
480,840,2619.103759765625,1236.7734375
481,842,2643.31884765625,1220.4550170898438
482,843,2616.947998046875,1236.6036376953125
483,844,2651.7490234375,1214.43359375
484,846,2500.465576171875,1275.157470703125
485,848,2602.316162109375,1247.259033203125
486,850,2620.847900390625,1242.8294677734375
487,852,2619.7275390625,1250.8404541015625
488,853,2664.166259765625,1256.9547119140625
489,855,2614.81787109375,1252.13037109375
490,857,2502.4666748046875,1310.1580200195312
491,858,2662.31640625,1252.3035888671875
492,859,2659.81396484375,1263.1793212890625
493,860,2658.04296875,1260.7105712890625
494,862,2602.79443359375,1239.0860595703125
495,864,2622.01611328125,1295.2823486328125
496,865,2621.637451171875,1294.7779541015625
497,866,2623.4437255859375,1302.367431640625
498,867,2621.50439453125,1295.796875
499,868,2498.15283203125,1297.6096801757812
500,869,2624.18505859375,1296.9832763671875
501,871,2502.719970703125,1315.1824340820312
502,872,2503.9661865234375,1311.9828491210938
